PopulationName,StratumName,PlotId,TreeNumber,StemNo,Level,Position,Diameter,Br,Sw,F,GHT
L19RAD05_FY24,HQP024,HQP024,19,0,0,25.18,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,21,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,21,0,0,1.3,160,,,NONE,
L19RAD05_FY24,HQP024,HQP024,21,0,0,19.2,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,22,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,22,0,0,1.3,80,,,NONE,
L19RAD05_FY24,HQP024,HQP024,22,0,0,11.5,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,23,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,23,0,0,1.3,100,,,NONE,
L19RAD05_FY24,HQP024,HQP024,23,0,0,13.2,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,24,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,24,0,0,1.3,220,,,NONE,
L19RAD05_FY24,HQP024,HQP024,24,0,0,7.2,,,S,NONE,
L19RAD05_FY24,HQP024,HQP024,24,0,0,9.23,,,3,NONE,
L19RAD05_FY24,HQP024,HQP024,24,0,0,17.8,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,24,0,0,24.8,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,25,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,25,0,0,1.3,400,,,NONE,
L19RAD05_FY24,HQP024,HQP024,25,0,0,19.2,,4,,NONE,
L19RAD05_FY24,HQP024,HQP024,25,0,0,20.5,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,25,0,0,23.9,,7,L,NONE,
L19RAD05_FY24,HQP024,HQP024,25,0,0,30.77,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,26,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,26,0,0,1.3,220,,,NONE,
L19RAD05_FY24,HQP024,HQP024,26,0,0,16.7,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,26,0,0,17.7,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,26,0,0,24.9,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,28,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,28,0,0,1.3,380,,,NONE,
L19RAD05_FY24,HQP024,HQP024,28,0,0,17.1,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,28,0,0,23.4,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,28,0,0,27.88,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,30,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,30,0,0,1.3,450,,,NONE,
L19RAD05_FY24,HQP024,HQP024,30,0,0,6.5,,,S,NONE,
L19RAD05_FY24,HQP024,HQP024,30,0,0,17.7,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,30,0,0,24.1,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,30,0,0,27.65,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,31,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,31,0,0,1.3,400,,,NONE,
L19RAD05_FY24,HQP024,HQP024,31,0,0,15.6,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,31,0,0,22.9,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,31,0,0,28.81,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,1,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,1,0,0,1.3,180,,,NONE,
L19RAD05_FY24,HQP128,HQP128,1,0,0,5.4,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,1,0,0,6.6,,,,NONE,
L19RAD05_FY24,HQP128,HQP128,1,0,0,7.1,,,,S7+,
L19RAD05_FY24,HQP128,HQP128,1,0,0,9.6,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,1,0,0,13.03,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,2,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,2,0,0,1.3,167,,,NONE,
L19RAD05_FY24,HQP128,HQP128,2,0,0,6.6,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,2,0,0,10.6,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,2,0,0,14.02,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,3,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,3,0,0,1.3,177,,,NONE,
L19RAD05_FY24,HQP128,HQP128,3,0,0,6.7,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,3,0,0,9.7,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,3,0,0,13.15,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,4,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,4,0,0,1.3,250,,,NONE,
L19RAD05_FY24,HQP128,HQP128,4,0,0,6.6,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,4,0,0,9.6,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,4,0,0,14.55,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,5,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,5,0,0,1.3,120,,,NONE,
L19RAD05_FY24,HQP128,HQP128,5,0,0,9.9,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,6,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,6,0,0,1.3,108,,,NONE,
L19RAD05_FY24,HQP128,HQP128,6,0,0,9.2,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,8,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,8,0,0,1.3,220,,,NONE,
L19RAD05_FY24,HQP128,HQP128,8,0,0,5.9,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,8,0,0,9.4,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,8,0,0,14.64,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,11,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,11,0,0,1.3,200,,,NONE,
L19RAD05_FY24,HQP128,HQP128,11,0,0,7.2,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,11,0,0,9.4,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,11,0,0,16.08,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,12,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,12,0,0,1.3,110,,,NONE,
L19RAD05_FY24,HQP128,HQP128,12,0,0,6.8,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,13,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,13,0,0,1.3,187,,,NONE,
L19RAD05_FY24,HQP128,HQP128,13,0,0,5.4,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,13,0,0,7.8,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,13,0,0,11.52,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,14,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,14,0,0,1.3,177,,,NONE,
L19RAD05_FY24,HQP128,HQP128,14,0,0,6.8,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,14,0,0,11.9,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,16,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,16,0,0,1.3,200,,,NONE,
L19RAD05_FY24,HQP128,HQP128,16,0,0,5.7,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,16,0,0,7.3,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,16,0,0,15.59,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,17,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,17,0,0,1.3,213,,,NONE,
L19RAD05_FY24,HQP128,HQP128,17,0,0,9.9,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,18,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,18,0,0,1.3,223,,,NONE,
L19RAD05_FY24,HQP128,HQP128,18,0,0,5.2,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,18,0,0,15.51,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,19,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,19,0,0,1.3,133,,,NONE,
L19RAD05_FY24,HQP128,HQP128,19,0,0,9.6,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,20,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,20,0,0,1.3,140,,,NONE,
L19RAD05_FY24,HQP128,HQP128,20,0,0,6.2,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,20,0,0,15.21,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,22,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,22,0,0,1.3,227,,,NONE,
L19RAD05_FY24,HQP128,HQP128,22,0,0,6.3,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,22,0,0,16.46,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,24,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,24,0,0,1.3,293,,,NONE,
L19RAD05_FY24,HQP128,HQP128,24,0,0,7.8,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,24,0,0,10,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,24,0,0,16.58,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,29,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,29,0,0,1.3,240,,,NONE,
L19RAD05_FY24,HQP128,HQP128,29,0,0,5.8,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,29,0,0,14.06,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,30,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,30,0,0,1.3,157,,,NONE,
L19RAD05_FY24,HQP128,HQP128,30,0,0,5.2,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,30,0,0,8,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,30,0,0,14,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,32,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,32,0,0,1.3,220,,,NONE,
L19RAD05_FY24,HQP128,HQP128,32,0,0,13.6,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,33,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,33,0,0,1.3,200,,,NONE,
L19RAD05_FY24,HQP128,HQP128,33,0,0,5.8,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,33,0,0,8.3,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,33,0,0,14.03,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,34,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,34,0,0,1.3,227,,,NONE,
L19RAD05_FY24,HQP128,HQP128,34,0,0,5.8,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,34,0,0,7.6,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,34,0,0,15.72,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,35,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,35,0,0,1.3,260,,,NONE,
L19RAD05_FY24,HQP128,HQP128,35,0,0,6.9,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,35,0,0,7.9,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,35,0,0,17.33,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,36,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,36,0,0,1.3,223,,,NONE,
L19RAD05_FY24,HQP128,HQP128,36,0,0,7.3,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,36,0,0,9.5,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,36,0,0,15.07,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,37,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,37,0,0,1.3,243,,,NONE,
L19RAD05_FY24,HQP128,HQP128,37,0,0,6.1,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,37,0,0,7.4,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,37,0,0,14.03,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,38,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,38,0,0,1.3,153,,,NONE,
L19RAD05_FY24,HQP128,HQP128,38,0,0,7.3,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,38,0,0,7.7,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,38,0,0,11.16,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,39,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,39,0,0,1.3,177,,,NONE,
L19RAD05_FY24,HQP128,HQP128,39,0,0,6.3,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,39,0,0,13.99,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,40,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,40,0,0,1.3,240,,,NONE,
L19RAD05_FY24,HQP128,HQP128,40,0,0,6.1,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,40,0,0,7,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,40,0,0,13.65,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,41,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,41,0,0,1.3,260,,,NONE,
L19RAD05_FY24,HQP128,HQP128,41,0,0,6.1,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,41,0,0,7.9,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,41,0,0,15.03,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,42,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,42,0,0,1.3,113,,,NONE,
L19RAD05_FY24,HQP128,HQP128,42,0,0,8.5,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,43,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,43,0,0,1.3,266,,,NONE,
L19RAD05_FY24,HQP128,HQP128,43,0,0,5.7,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,43,0,0,6.9,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,43,0,0,14.9,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,46,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,46,0,0,1.3,193,,,NONE,
L19RAD05_FY24,HQP128,HQP128,46,0,0,6.2,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,46,0,0,14.78,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,47,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,47,0,0,1.3,227,,,NONE,
L19RAD05_FY24,HQP128,HQP128,47,0,0,4.9,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,47,0,0,14.99,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,48,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,48,0,0,1,,,3,NONE,
L19RAD05_FY24,HQP128,HQP128,48,0,0,1.3,160,,,NONE,
L19RAD05_FY24,HQP128,HQP128,48,0,0,5.8,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,48,0,0,11.07,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,52,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,52,0,0,1.3,203,,,NONE,
L19RAD05_FY24,HQP128,HQP128,52,0,0,7.7,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,52,0,0,15.71,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,53,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,53,0,0,1.3,150,,,NONE,
L19RAD05_FY24,HQP128,HQP128,53,0,0,10.2,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,54,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,54,0,0,1.3,200,,,NONE,
L19RAD05_FY24,HQP128,HQP128,54,0,0,6.4,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,54,0,0,13.71,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,55,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,55,0,0,1.3,160,,,NONE,
L19RAD05_FY24,HQP128,HQP128,55,0,0,6.1,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,55,0,0,13.08,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,56,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,56,0,0,1.3,240,,,NONE,
L19RAD05_FY24,HQP128,HQP128,56,0,0,5.8,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,56,0,0,13.59,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,57,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,57,0,0,1.3,273,,,NONE,
L19RAD05_FY24,HQP128,HQP128,57,0,0,5.3,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,57,0,0,7.4,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,57,0,0,16.22,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,58,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,58,0,0,1.3,197,,,NONE,
L19RAD05_FY24,HQP128,HQP128,58,0,0,6,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,58,0,0,8.2,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,58,0,0,13.49,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,59,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,59,0,0,1.3,220,,,NONE,
L19RAD05_FY24,HQP128,HQP128,59,0,0,5.4,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,59,0,0,8.2,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,59,0,0,14,,4,S,NONE,
L19RAD05_FY24,HQP128,HQP128,62,0,0,0,,,,,
L19RAD05_FY24,HQP128,HQP128,62,0,0,1.3,200,,,NONE,
L19RAD05_FY24,HQP128,HQP128,62,0,0,7.4,,,,NONE,GCHT
L19RAD05_FY24,HQP128,HQP128,62,0,0,9.7,,,L,NONE,
L19RAD05_FY24,HQP128,HQP128,62,0,0,13.96,,4,S,NONE,
